scope,symbol,initial_reaction,horizon,n,mean_return,median_return,std_return,standard_error,ci95_lower,ci95_upper,sample_note
stock,NYKAA,positive,d5,4,0.028832914378392416,0.03211260216875689,0.038471221320010324,0.019235610660005162,-0.008868882515217703,0.06653471127200253,descriptive
stock,NYKAA,positive,d10,4,0.011671506642498386,0.03269868139213461,0.08120196353917053,0.040600981769585265,-0.06790641762588873,0.0912494309108855,descriptive
stock,NYKAA,positive,d20,4,-0.002857915790173665,-0.02830606385589679,0.08416652656420404,0.04208326328210202,-0.08534111182309362,0.07962528024274629,descriptive
stock,NYKAA,neutral,d1,0,,,,,,,descriptive
stock,NYKAA,neutral,d3,0,,,,,,,descriptive
stock,NYKAA,neutral,d5,0,,,,,,,descriptive
stock,NYKAA,neutral,d10,0,,,,,,,descriptive
stock,NYKAA,neutral,d20,0,,,,,,,descriptive
stock,NYKAA,negative,d1,9,-0.04489688671283368,-0.035729847494553435,0.03563793522384977,0.011879311741283255,-0.06818033772574886,-0.0216134356999185,descriptive
stock,NYKAA,negative,d3,9,-0.056041063089258096,-0.05969498910675386,0.04490095676624146,0.014966985588747152,-0.08537635484320251,-0.02670577133531368,descriptive
stock,NYKAA,negative,d5,9,-0.036443285997088334,-0.04705882352941171,0.06268851732263005,0.020896172440876683,-0.07739978398120664,0.004513211987029968,descriptive
stock,NYKAA,negative,d10,9,-0.02981583860133498,-0.06110790536641664,0.07812203947017587,0.02604067982339196,-0.08085557105518322,0.021223893852513262,descriptive
stock,NYKAA,negative,d20,8,0.010477813229153116,0.005133606758690734,0.08033386201120937,0.02840230929351526,-0.0451907129861368,0.06614633944444304,descriptive
stock,RELIANCE,all,d1,12,-0.0033494757226218974,-0.012507833982105754,0.029208823811894373,0.008431861145254784,-0.019875923567321273,0.013176972122077479,inferential
stock,RELIANCE,all,d3,12,0.0003844905602074511,-0.014600014766148306,0.03958087478538824,0.011426014356052387,-0.022010497577655226,0.02277947869807013,inferential
stock,RELIANCE,all,d5,12,0.005219220289942132,-0.004044975347737234,0.04656127366060288,0.013441081940880452,-0.021125300314183554,0.03156374089406782,inferential
stock,RELIANCE,all,d10,12,-0.002597546090031988,-0.015472372099879672,0.03565124397167413,0.010291627651995542,-0.02276913628794325,0.017574044107879275,inferential
stock,RELIANCE,all,d20,12,0.005510751632261853,-0.0047839757706069075,0.0474877411527163,0.013708530068864013,-0.021357967302711615,0.03237947056723532,inferential
stock,RELIANCE,positive,d1,4,0.028316771456290635,0.02920064610848505,0.028666329480831882,0.014333164740415941,0.00022376856507539192,0.05640977434750588,descriptive
stock,RELIANCE,positive,d3,4,0.04245272200195327,0.04288299251699168,0.04189791780567589,0.020948958902837943,0.0013927625523909026,0.08351268145151564,descriptive
stock,RELIANCE,positive,d5,4,0.05538678390851398,0.04759792354825565,0.03873313800970124,0.01936656900485062,0.01742830865900677,0.0933452591580212,descriptive
stock,RELIANCE,positive,d10,4,0.032949587542944914,0.02527456931676675,0.024320606377374567,0.012160303188687284,0.009115393293117838,0.05678378179277199,descriptive
stock,RELIANCE,positive,d20,4,0.04788494122083248,0.04679624798617388,0.01999190172791792,0.00999595086395896,0.028292877527472917,0.06747700491419203,descriptive
stock,RELIANCE,neutral,d1,0,,,,,,,descriptive
stock,RELIANCE,neutral,d3,0,,,,,,,descriptive
stock,RELIANCE,neutral,d5,0,,,,,,,descriptive
stock,RELIANCE,neutral,d10,0,,,,,,,descriptive
stock,RELIANCE,neutral,d20,0,,,,,,,descriptive
stock,RELIANCE,negative,d1,8,-0.019182599312078163,-0.021525117972804986,0.011357355534318577,0.004015431557331615,-0.027052845164448128,-0.0113123534597082,descriptive
stock,RELIANCE,negative,d3,8,-0.020649625160665458,-0.017271720659590595,0.013878961505876173,0.0049069538983160495,-0.030267254801364912,-0.011031995519966002,descriptive
stock,RELIANCE,negative,d5,8,-0.019864561519343793,-0.022469501193305763,0.024628669928406205,0.008707549758990614,-0.036931359046965394,-0.002797763991722192,descriptive
stock,RELIANCE,negative,d10,8,-0.02037111290652044,-0.026045684384353618,0.025704516621437377,0.009087919005070347,-0.03818343415645832,-0.0025587916565825604,descriptive
stock,RELIANCE,negative,d20,8,-0.01567634316202346,-0.015896978430430697,0.042817688424021824,0.015138338919679284,-0.04534748744459485,0.013994801120547937,descriptive
stock,RVNL,all,d1,24,-0.017318781122944577,-0.01849659662622083,0.05620078950186099,0.011471938118427085,-0.03980377983506166,0.00516621758917251,inferential
stock,RVNL,all,d3,24,0.021393382623532367,0.009496676163342821,0.08856807044981958,0.018078881675410916,-0.014041225460273025,0.05682799070733776,inferential
stock,RVNL,all,d5,24,0.019027850562734858,0.016817132794632816,0.08777128303433471,0.017916238125293506,-0.01608797616284041,0.05414367728831013,inferential
stock,RVNL,all,d10,22,0.016568032714627836,-0.005994041923766402,0.11662883259622082,0.024865350657232846,-0.032168054573548543,0.06530412000280421,inferential
stock,RVNL,all,d20,22,0.018077676234246123,0.018189884649511878,0.11807632123270809,0.025173956271448538,-0.03126327805779301,0.06741863052628526,inferential
stock,RVNL,positive,d1,6,-0.00736690977793412,-0.013677276484575174,0.014620594641696986,0.005968832768037911,-0.019065822003288425,0.004332002447420185,descriptive
