symbol,subject_group,horizon,independent_event_count,analysis_status,n,mean_return,median_return,standard_error,ci95_lower,ci95_upper
HDFCBANK,strategic_transactions,session_close,9,descriptive_only,9,0.0023638211157551,0.0021901235855452,0.004608428344139901,-0.006668698438759106,0.011396340670269307
HDFCBANK,strategic_transactions,d1,9,descriptive_only,9,0.008748454041654212,0.0043253634506787,0.008796853873759196,-0.008493379550913812,0.025990287634222238
HDFCBANK,strategic_transactions,d5,9,descriptive_only,9,0.020694774525589456,0.0122551964435901,0.015708753926646123,-0.010094383170636944,0.051483932221815853
HDFCBANK,strategic_transactions,d10,9,descriptive_only,9,0.027035487078384032,0.022877618522602,0.013402234645335027,0.0007671071735273795,0.05330386698324069
HDFCBANK,strategic_transactions,d20,9,descriptive_only,9,0.042686834536467336,0.0469945355191256,0.016014700824399163,0.011298020920644976,0.0740756481522897
NYKAA,board_governance,5m,41,inferential,41,-0.000646857597534534,0.0004657661853748,0.0009806286307291836,-0.002568889713763734,0.0012751745186946658
NYKAA,board_governance,30m,41,inferential,37,-0.0012506280707755917,-0.0038197491353945,0.0019107483213885276,-0.004995694780697106,0.0024944386391459222
NYKAA,board_governance,60m,41,inferential,37,-0.0017925410503867457,-0.0005678005471532,0.0023082637955656065,-0.006316738089695334,0.0027316559889218424
NYKAA,board_governance,session_close,41,inferential,41,0.0014433183914072194,-0.0002645802623123,0.0023216952008052803,-0.00310720420217113,0.005993840984985569
NYKAA,board_governance,d1,41,inferential,41,-0.0011911245856841733,-0.0001773259250502,0.002821308371136544,-0.006720888993111799,0.004338639821743453
NYKAA,board_governance,d5,41,inferential,41,0.001540191287302039,0.0043196544276458,0.005235187199022486,-0.008720775622782033,0.011801158197386112
NYKAA,board_governance,d10,41,inferential,41,0.013713165860804481,-0.0009259259259258,0.009020517826254551,-0.003967049078654439,0.0313933808002634
NYKAA,board_governance,d20,41,inferential,35,0.02447861469778337,0.0224803297115023,0.013705556092373323,-0.0023842752432683446,0.05134150463883508
NYKAA,business_updates,5m,70,inferential,70,-0.002008277245663854,-0.0014267462287846,0.0011894808938284554,-0.004339659797567627,0.0003231053062399186
NYKAA,business_updates,30m,70,inferential,68,-0.0057954114154573685,-0.00211792463570475,0.0021034228924659685,-0.009918120284690666,-0.0016727025462240702
NYKAA,business_updates,60m,70,inferential,67,-0.006372603963972974,-0.0022554271215111,0.0024162904956828847,-0.011108533335511428,-0.0016366745924345201
NYKAA,business_updates,session_close,70,inferential,70,-0.008233789042635838,-0.0037694110191149,0.00317910322410198,-0.014464831361875718,-0.0020027467233959565
NYKAA,business_updates,d1,70,inferential,70,-0.00823158635780025,-0.00561144827819795,0.00432950222304484,-0.016717410714968135,0.00025423799936763643
NYKAA,business_updates,d5,70,inferential,69,0.0008194927748215746,0.0002537942236435,0.0067561717186402385,-0.012422603793713292,0.014061589343356442
NYKAA,business_updates,d10,70,inferential,69,0.009527482860726489,0.0056529112492933,0.007879632247362744,-0.005916596344104489,0.024971562065557465
NYKAA,business_updates,d20,70,inferential,68,0.026859068141285816,0.030544586924676598,0.009074186187996793,0.0090736632128121,0.044644473069759535
NYKAA,capital_structure,5m,49,inferential,49,0.00024230399406816394,-0.0003691399040235,0.0007717653316712373,-0.0012703560560074613,0.001754964044143789
NYKAA,capital_structure,30m,49,inferential,47,0.00022757392163567008,-0.0003183699458771,0.0015368200250173482,-0.002784593327398332,0.0032397411706696724
NYKAA,capital_structure,60m,49,inferential,45,0.000488581917054407,0.0009993337774816,0.0018556477800363402,-0.00314848773181682,0.004125651565925634
NYKAA,capital_structure,session_close,49,inferential,49,-0.00012051354334686218,0.0003698224852071,0.002252809651180219,-0.004536020459660091,0.0042949933729663665
NYKAA,capital_structure,d1,49,inferential,49,-0.0035107819075532003,-0.00844327176781,0.0034946507811510204,-0.0103602974386092,0.0033387336235027997
NYKAA,capital_structure,d5,49,inferential,49,0.0012588694195307373,0.0022444646648469,0.005847702044004253,-0.0102026265867176,0.012720365425779074
NYKAA,capital_structure,d10,49,inferential,48,0.011755021251708247,0.00046661743165705006,0.008766049513267047,-0.005426435794295163,0.028936478297711656
NYKAA,capital_structure,d20,49,inferential,48,0.03286468907751342,0.0306305390595187,0.011611415933769789,0.010106313847324636,0.05562306430770221
NYKAA,credit_ratings,5m,4,descriptive_only,4,0.001839462301282375,-0.00074219071652565,0.005750995398862957,-0.009432488680489019,0.01311141328305377
NYKAA,credit_ratings,30m,4,descriptive_only,4,-0.0035521817432967494,-0.00229068372487235,0.006198875264771468,-0.015701977262248826,0.008597613775655329
NYKAA,credit_ratings,60m,4,descriptive_only,4,-0.00022664676630957488,0.0008528785811137002,0.0030138821164890713,-0.006133855714628154,0.005680562182009005
NYKAA,credit_ratings,session_close,4,descriptive_only,4,2.358508330042454e-05,0.00138332115725335,0.004390113108442329,-0.008581036609246539,0.00862820677584739
NYKAA,credit_ratings,d1,4,descriptive_only,4,0.003963278061423027,0.007914145763586303,0.01866944968790036,-0.032628843326861674,0.04055539944970773
NYKAA,credit_ratings,d5,4,descriptive_only,4,0.03590840331289402,0.031858257938068,0.02869487167564636,-0.02033354517137284,0.09215035179716088
